id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
6428,1,1,1,http://alt00013.youtube.com,alt00013.youtube.com,1,alt00013.youtube.com,216.58.223.78,1,1,80,404,Not Found,Error 404 (Not Found)!!1,,216.58.223.0/24,AS15169,Google,肯尼亚Coast,谷歌,Altdns
6443,1,1,1,https://alt00013.youtube.com,alt00013.youtube.com,1,alt00013.youtube.com,216.58.223.78,1,1,443,404,Not Found,Error 404 (Not Found)!!1,,216.58.223.0/24,AS15169,Google,肯尼亚Coast,谷歌,Altdns
7317,1,1,1,http://alt00014.youtube.com,alt00014.youtube.com,1,alt00014.youtube.com,172.217.4.78,1,1,80,404,Not Found,Error 404 (Not Found)!!1,,172.217.4.0/24,AS15169,Google,美国伊利诺伊芝加哥,谷歌,Altdns
7331,1,1,1,https://alt00014.youtube.com,alt00014.youtube.com,1,alt00014.youtube.com,172.217.4.78,1,1,443,404,Not Found,Error 404 (Not Found)!!1,,172.217.4.0/24,AS15169,Google,美国伊利诺伊芝加哥,谷歌,Altdns
5942,1,1,1,http://alt00015.youtube.com,alt00015.youtube.com,1,"alt00015.youtube.com,alt00015.youtube.com,alt00015.youtube.com,alt00015.youtube.com","173.194.77.91,173.194.77.93,173.194.77.136,173.194.77.190","1,1,1,1",1,80,404,Not Found,Error 404 (Not Found)!!1,,"173.194.77.0/24,173.194.77.0/24,173.194.77.0/24,173.194.77.0/24","AS15169,AS15169,AS15169,AS15169","Google,Google,Google,Google","美国加利福尼亚山景,美国加利福尼亚山景,美国加利福尼亚山景,美国加利福尼亚山景","谷歌,谷歌,谷歌,谷歌",Altdns
5956,1,1,1,https://alt00015.youtube.com,alt00015.youtube.com,1,"alt00015.youtube.com,alt00015.youtube.com,alt00015.youtube.com,alt00015.youtube.com","173.194.77.91,173.194.77.93,173.194.77.136,173.194.77.190","1,1,1,1",1,443,404,Not Found,Error 404 (Not Found)!!1,,"173.194.77.0/24,173.194.77.0/24,173.194.77.0/24,173.194.77.0/24","AS15169,AS15169,AS15169,AS15169","Google,Google,Google,Google","美国加利福尼亚山景,美国加利福尼亚山景,美国加利福尼亚山景,美国加利福尼亚山景","谷歌,谷歌,谷歌,谷歌",Altdns
7058,1,1,1,http://alt0001504.youtube.com,alt0001504.youtube.com,1,alt0001504.youtube.com,172.217.1.238,1,1,80,404,Not Found,Error 404 (Not Found)!!1,,172.217.1.0/24,AS15169,Google,美国德克萨斯达拉斯,谷歌,Altdns
7064,1,1,1,https://alt0001504.youtube.com,alt0001504.youtube.com,1,alt0001504.youtube.com,172.217.1.238,1,1,443,404,Not Found,Error 404 (Not Found)!!1,,172.217.1.0/24,AS15169,Google,美国德克萨斯达拉斯,谷歌,Altdns
4403,1,1,1,http://alt0001514.youtube.com,alt0001514.youtube.com,1,alt0001514.youtube.com,172.217.31.174,1,1,80,404,Not Found,Error 404 (Not Found)!!1,,172.217.31.0/24,AS15169,Google,日本东京都东京,谷歌,AlienVaultQuery
4408,1,1,1,https://alt0001514.youtube.com,alt0001514.youtube.com,1,alt0001514.youtube.com,172.217.31.174,1,1,443,404,Not Found,Error 404 (Not Found)!!1,,172.217.31.0/24,AS15169,Google,日本东京都东京,谷歌,AlienVaultQuery
6575,1,1,1,http://alt0001516.youtube.com,alt0001516.youtube.com,1,"alt0001516.youtube.com,alt0001516.youtube.com,alt0001516.youtube.com,alt0001516.youtube.com","108.177.12.190,108.177.12.136,108.177.12.91,108.177.12.93","1,1,1,1",1,80,404,Not Found,Error 404 (Not Found)!!1,,"108.177.12.0/24,108.177.12.0/24,108.177.12.0/24,108.177.12.0/24","AS15169,AS15169,AS15169,AS15169","Google,Google,Google,Google","美国南卡罗来纳,美国南卡罗来纳,美国南卡罗来纳,美国南卡罗来纳","谷歌,谷歌,谷歌,谷歌",Altdns
6588,1,1,1,https://alt0001516.youtube.com,alt0001516.youtube.com,1,"alt0001516.youtube.com,alt0001516.youtube.com,alt0001516.youtube.com,alt0001516.youtube.com","108.177.12.190,108.177.12.136,108.177.12.91,108.177.12.93","1,1,1,1",1,443,404,Not Found,Error 404 (Not Found)!!1,,"108.177.12.0/24,108.177.12.0/24,108.177.12.0/24,108.177.12.0/24","AS15169,AS15169,AS15169,AS15169","Google,Google,Google,Google","美国南卡罗来纳,美国南卡罗来纳,美国南卡罗来纳,美国南卡罗来纳","谷歌,谷歌,谷歌,谷歌",Altdns
4905,1,1,1,http://alt000152.youtube.com,alt000152.youtube.com,1,alt000152.youtube.com,142.250.199.78,1,1,80,404,Not Found,Error 404 (Not Found)!!1,,142.250.128.0/17,AS15169,Google,美国加利福尼亚山景,谷歌,Altdns
4917,1,1,1,https://alt000152.youtube.com,alt000152.youtube.com,1,alt000152.youtube.com,142.250.199.78,1,1,443,404,Not Found,Error 404 (Not Found)!!1,,142.250.128.0/17,AS15169,Google,美国加利福尼亚山景,谷歌,Altdns
4357,1,1,1,http://alt000154.youtube.com,alt000154.youtube.com,1,alt000154.youtube.com,172.217.13.110,1,1,80,404,Not Found,Error 404 (Not Found)!!1,,172.217.13.0/24,AS15169,Google,加拿大魁北克蒙特利尔,谷歌,AlienVaultQuery
4367,1,1,1,https://alt000154.youtube.com,alt000154.youtube.com,1,alt000154.youtube.com,172.217.13.110,1,1,443,404,Not Found,Error 404 (Not Found)!!1,,172.217.13.0/24,AS15169,Google,加拿大魁北克蒙特利尔,谷歌,AlienVaultQuery
4347,1,1,1,http://alt00016.youtube.com,alt00016.youtube.com,1,alt00016.youtube.com,172.217.22.14,1,1,80,404,Not Found,Error 404 (Not Found)!!1,,172.217.22.0/24,AS15169,Google,德国法兰克福法兰克福,谷歌,AlienVaultQuery
4356,1,1,1,https://alt00016.youtube.com,alt00016.youtube.com,1,alt00016.youtube.com,172.217.22.14,1,1,443,404,Not Found,Error 404 (Not Found)!!1,,172.217.22.0/24,AS15169,Google,德国法兰克福法兰克福,谷歌,AlienVaultQuery
5906,1,1,1,http://alt00017.youtube.com,alt00017.youtube.com,1,"alt00017.youtube.com,alt00017.youtube.com,alt00017.youtube.com,alt00017.youtube.com","142.250.112.136,142.250.112.93,142.250.112.91,142.250.112.190","1,1,1,1",1,80,404,Not Found,Error 404 (Not Found)!!1,,"142.250.112.0/20,142.250.112.0/20,142.250.112.0/20,142.250.112.0/20","AS15169,AS15169,AS15169,AS15169","Google,Google,Google,Google","美国加利福尼亚山景,美国加利福尼亚山景,美国加利福尼亚山景,美国加利福尼亚山景","谷歌,谷歌,谷歌,谷歌",Altdns
5923,1,1,1,https://alt00017.youtube.com,alt00017.youtube.com,1,"alt00017.youtube.com,alt00017.youtube.com,alt00017.youtube.com,alt00017.youtube.com","142.250.112.136,142.250.112.93,142.250.112.91,142.250.112.190","1,1,1,1",1,443,404,Not Found,Error 404 (Not Found)!!1,,"142.250.112.0/20,142.250.112.0/20,142.250.112.0/20,142.250.112.0/20","AS15169,AS15169,AS15169,AS15169","Google,Google,Google,Google","美国加利福尼亚山景,美国加利福尼亚山景,美国加利福尼亚山景,美国加利福尼亚山景","谷歌,谷歌,谷歌,谷歌",Altdns
7456,1,1,1,http://alt00018.youtube.com,alt00018.youtube.com,1,"alt00018.youtube.com,alt00018.youtube.com,alt00018.youtube.com,alt00018.youtube.com","172.217.197.136,172.217.197.91,172.217.197.190,172.217.197.93","1,1,1,1",1,80,404,Not Found,Error 404 (Not Found)!!1,,"172.217.197.0/24,172.217.197.0/24,172.217.197.0/24,172.217.197.0/24","AS15169,AS15169,AS15169,AS15169","Google,Google,Google,Google","美国加利福尼亚山景,美国加利福尼亚山景,美国加利福尼亚山景,美国加利福尼亚山景","谷歌,谷歌,谷歌,谷歌",Altdns
7468,1,1,1,https://alt00018.youtube.com,alt00018.youtube.com,1,"alt00018.youtube.com,alt00018.youtube.com,alt00018.youtube.com,alt00018.youtube.com","172.217.197.136,172.217.197.91,172.217.197.190,172.217.197.93","1,1,1,1",1,443,404,Not Found,Error 404 (Not Found)!!1,,"172.217.197.0/24,172.217.197.0/24,172.217.197.0/24,172.217.197.0/24","AS15169,AS15169,AS15169,AS15169","Google,Google,Google,Google","美国加利福尼亚山景,美国加利福尼亚山景,美国加利福尼亚山景,美国加利福尼亚山景","谷歌,谷歌,谷歌,谷歌",Altdns
6624,1,1,1,http://alt00019.youtube.com,alt00019.youtube.com,1,alt00019.youtube.com,172.217.3.78,1,1,80,404,Not Found,Error 404 (Not Found)!!1,,172.217.3.0/24,AS15169,Google,美国佛罗里达迈阿密,谷歌,Altdns
6642,1,1,1,https://alt00019.youtube.com,alt00019.youtube.com,1,alt00019.youtube.com,172.217.3.78,1,1,443,404,Not Found,Error 404 (Not Found)!!1,,172.217.3.0/24,AS15169,Google,美国佛罗里达迈阿密,谷歌,Altdns
6562,1,1,1,http://alt006299.youtube.com,alt006299.youtube.com,1,alt006299.youtube.com,172.217.1.238,1,1,80,404,Not Found,Error 404 (Not Found)!!1,,172.217.1.0/24,AS15169,Google,美国德克萨斯达拉斯,谷歌,Altdns
6577,1,1,1,https://alt006299.youtube.com,alt006299.youtube.com,1,alt006299.youtube.com,172.217.1.238,1,1,443,404,Not Found,Error 404 (Not Found)!!1,,172.217.1.0/24,AS15169,Google,美国德克萨斯达拉斯,谷歌,Altdns
4438,1,1,1,http://alt007299.youtube.com,alt007299.youtube.com,1,alt007299.youtube.com,172.217.13.110,1,1,80,404,Not Found,Error 404 (Not Found)!!1,,172.217.13.0/24,AS15169,Google,加拿大魁北克蒙特利尔,谷歌,AlienVaultQuery
4442,1,1,1,https://alt007299.youtube.com,alt007299.youtube.com,1,alt007299.youtube.com,172.217.13.110,1,1,443,404,Not Found,Error 404 (Not Found)!!1,,172.217.13.0/24,AS15169,Google,加拿大魁北克蒙特利尔,谷歌,AlienVaultQuery
5843,1,1,1,http://alt010110.youtube.com,alt010110.youtube.com,1,"alt010110.youtube.com,alt010110.youtube.com,alt010110.youtube.com,alt010110.youtube.com","108.177.12.136,108.177.12.190,108.177.12.91,108.177.12.93","1,1,1,1",1,80,404,Not Found,Error 404 (Not Found)!!1,,"108.177.12.0/24,108.177.12.0/24,108.177.12.0/24,108.177.12.0/24","AS15169,AS15169,AS15169,AS15169","Google,Google,Google,Google","美国南卡罗来纳,美国南卡罗来纳,美国南卡罗来纳,美国南卡罗来纳","谷歌,谷歌,谷歌,谷歌",Altdns
5851,1,1,1,https://alt010110.youtube.com,alt010110.youtube.com,1,"alt010110.youtube.com,alt010110.youtube.com,alt010110.youtube.com,alt010110.youtube.com","108.177.12.136,108.177.12.190,108.177.12.91,108.177.12.93","1,1,1,1",1,443,404,Not Found,Error 404 (Not Found)!!1,,"108.177.12.0/24,108.177.12.0/24,108.177.12.0/24,108.177.12.0/24","AS15169,AS15169,AS15169,AS15169","Google,Google,Google,Google","美国南卡罗来纳,美国南卡罗来纳,美国南卡罗来纳,美国南卡罗来纳","谷歌,谷歌,谷歌,谷歌",Altdns
5231,1,1,1,http://alt046678651.youtube.com,alt046678651.youtube.com,1,alt046678651.youtube.com,172.217.1.14,1,1,80,404,Not Found,Error 404 (Not Found)!!1,,172.217.1.0/24,AS15169,Google,美国弗吉尼亚阿什本,谷歌,Altdns
5249,1,1,1,https://alt046678651.youtube.com,alt046678651.youtube.com,1,alt046678651.youtube.com,172.217.1.14,1,1,443,404,Not Found,Error 404 (Not Found)!!1,,172.217.1.0/24,AS15169,Google,美国弗吉尼亚阿什本,谷歌,Altdns
6854,1,1,1,http://alt046680648.youtube.com,alt046680648.youtube.com,1,"alt046680648.youtube.com,alt046680648.youtube.com,alt046680648.youtube.com,alt046680648.youtube.com","108.177.12.190,108.177.12.93,108.177.12.91,108.177.12.136","1,1,1,1",1,80,404,Not Found,Error 404 (Not Found)!!1,,"108.177.12.0/24,108.177.12.0/24,108.177.12.0/24,108.177.12.0/24","AS15169,AS15169,AS15169,AS15169","Google,Google,Google,Google","美国南卡罗来纳,美国南卡罗来纳,美国南卡罗来纳,美国南卡罗来纳","谷歌,谷歌,谷歌,谷歌",Altdns
